Chain,Chain ID,Asset Name,Asset Symbol,Issuer,Asset Type,OFT Address,Token Address,Endpoint ID,Stage
"0G Mainnet","16661","USDC.e","USDC.e","Stargate","StargateOFT","0x5d46805BBFAcA875a96Ebbd22Aaa3DE4A81180f5","0x8a2B28364102Bea189D99A475C494330Ef2bDD0B","30388","mainnet"
"0G Mainnet","16661","USDT","USDT","Stargate","StargateOFT","0xcdA5b77E2E2268D9E09c874c1b9A4c3F07b37555","0x9FBBAFC2Ad79af2b57eD23C60DfF79eF5c2b0FB5","30388","mainnet"
"0G Mainnet","16661","WETH","WETH","Stargate","StargateOFT","0x0F3273eA5d8B182CD87C8630Dc436a6133b9bE39","0x564770837Ef8bbF077cFe54E5f6106538c815B22","30388","mainnet"
"Abstract Mainnet","2741","ETH","ETH","Stargate","StargatePool","0x221F0E1280Ec657503ca55c708105F1e1529527D","0x0000000000000000000000000000000000000000","30324","mainnet"
"Abstract Mainnet","2741","Orderly Network","ORDER","Orderly Network","OFT","0x9a4c8cd493cf0bf8e14bda5890e3f03a1cded719","0x9a4c8cd493cf0bf8e14bda5890e3f03a1cded719","30324","mainnet"
"Abstract Mainnet","2741","Pudgy Penguins","PENGU","Pudgy Penguins","OFT","0x9ebe3a824ca958e4b3da772d2065518f009cba62","0x9ebe3a824ca958e4b3da772d2065518f009cba62","30324","mainnet"
"Abstract Mainnet","2741","USDC.e","USDC.e","Stargate","StargateOFT","0x91a5Fe991ccB876d22847967CEd24dCd7A426e0E","0x84A71ccD554Cc1b02749b35d22F684CC8ec987e1","30324","mainnet"
"Abstract Mainnet","2741","USDT","USDT","Stargate","StargateOFT","0x943C484278b8bE05D119DfC73CfAa4c9D8f11A76","0x0709F39376dEEe2A2dfC94A58EdEb2Eb9DF012bD","30324","mainnet"
"Ape Mainnet","33139","ApeCoin","APE","ApeCoin","NativeOFTAdapter","0xe4103e80c967f58591a1d7ca443ed7e392fed862","0xe4103e80c967f58591a1d7ca443ed7e392fed862","30312","mainnet"
"Ape Mainnet","33139","GonnaMakeIt","GMI","GonnaMakeIt","OFTAdapter","0xc827828ad46f01f85aa1fa6c6bdcb83dde06e271","0xc827828ad46f01f85aa1fa6c6bdcb83dde06e271","30312","mainnet"
"Ape Mainnet","33139","USDC.e","USDC.e","Stargate","StargateOFT","0x2086f755A6d9254045C257ea3d382ef854849B0f","0xF1815bd50389c46847f0Bda824eC8da914045D14","30312","mainnet"
"Ape Mainnet","33139","USDT","USDT","Stargate","StargateOFT","0xEb8d955d8Ae221E5b502851ddd78E6C4498dB4f6","0x674843C06FF83502ddb4D37c2E09C01cdA38cbc8","30312","mainnet"
"Ape Mainnet","33139","WETH","WETH","Stargate","StargateOFT","0x28E0f0eed8d6A6a96033feEe8b2D7F32EB5CCc48","0xf4D9235269a96aaDaFc9aDAe454a0618eBE37949","30312","mainnet"
"Apex Fusion Nexus Mainnet","9069","AP3X","AP3X","AP3X","NativeOFTAdapter","0x9208d82f121806a34a39bb90733b4c5c54f3993e","0x9208d82f121806a34a39bb90733b4c5c54f3993e","30384","mainnet"
"Apex Fusion Nexus Mainnet","9069","USDC.e","USDC.e","Stargate","StargateOFT","0x60219C44E146BAf36002eA73767820238Ebc1db6","0x8a2B28364102Bea189D99A475C494330Ef2bDD0B","30384","mainnet"
